"time","billboard","tree","lake","house","sign","type","tree_PC1","Edge","Hue","Sat","Lum","sdHue","sdSat","sdBright","Entropy","AvePref","Type","Slope"
0.5,0,-0.857719672370717,0,0,0,"flat0",-0.790222610891638,-1.07059472610214,-0.298015509631948,-0.947240788887621,0.73175652361814,-0.844543771549857,-0.875739439654474,-0.657936151697535,-0.725133870052379,-0.0264236686372899,"flatagr",NA
1,0,-0.857719672370717,0,0,0,"flat0",-0.772655326040274,-1.33940609503914,-0.3085148634996,-1.04378376446791,0.729162459576202,-0.810934305269621,-0.940186726832336,-0.656674138709857,-0.890972996815524,-0.0264232108000077,"flatagr",NA
1.5,0,-0.857719672370717,0,0,0,"flat0",-0.767136056310049,-1.12680220429263,-0.301649536979099,-1.0444360859874,0.723751725099939,-0.830713748768327,-0.945529266115442,-0.640847000395458,-0.759386051535639,-0.0264232108000077,"flatagr",NA
2,0,-0.857719672370717,0,0,0,"flat0",-0.765929057190839,-0.939285063852672,-0.31148360494776,-1.00748779327847,0.732347714908925,-0.802052113200099,-0.904474689184637,-0.662175813741018,-0.572017538148462,-0.0506859175748978,"flatagr",NA
2.5,0,-0.857719672370717,0,0,0,"flat0",-0.755954871280455,-1.06059170032248,-0.310985680491833,-0.983415630319845,0.710231949590725,-0.789969587721092,-0.854781036246271,-0.638900395782408,-0.608893899610704,-0.183861220469423,"flatagr",NA
3,0,-0.857719672370717,0,0,0,"flat0",-0.750797705409889,-1.10854266198105,-0.305775954640725,-0.915708422099026,0.691941622495526,-0.79625689177037,-0.791918322106963,-0.604314706717805,-0.575572735864518,-0.301939728968319,"flatagr",NA
3.5,0,-0.857719672370717,0,0,0,"flat0",-0.726273730727875,-1.06948322798427,-0.316143355322204,-0.878931100264715,0.66175311584409,-0.746154931713815,-0.728910244555646,-0.555982956348998,-0.724346394930036,-0.369066551643997,"flatagr",NA
4,0,-0.857719672370717,0,0,0,"flat0",-0.743270436739245,-1.20936675990354,-0.32431253908828,-0.796320179330378,0.636520926008018,-0.717071463117739,-0.622392996380143,-0.522090226557933,-0.84146692757483,-0.458838567908053,"flatagr",NA
4.5,0,-0.857719672370717,0,0,0,"flat0",-0.718548949767596,-1.43435550166146,-0.317533795279267,-0.756898292680959,0.657267460588666,-0.711683692187207,-0.598795913429391,-0.596598608693472,-0.692579412966907,-0.373379921471319,"flatagr",NA
5,0,-0.857719672370717,0,0,0,"flat0",-0.699774666656167,-0.741447544495179,-0.330201630409446,-0.74639698859325,0.634639947475232,-0.642127363599713,-0.57405019340345,-0.551172631428267,-0.37329615495141,-0.346151772690777,"flatagr",NA
