"time","billboard","tree","lake","house","sign","type","Edge","Hue","Sat","Lum","sdHue","sdSat","sdBright","Entropy","AvePref","scene_type","sky","slope"
0.5,0,-1.2610341469994,0,0,0,"flat0",-1.17461924862035,-0.702985207925058,-0.517123010417399,1.23619350521872,-1.17519580230744,-0.307122553747022,-1.40491920641605,-1.64825532204563,-0.695996676978921,"F",1.06026727109075,0.205089427059725
1,0,-1.2610341469994,0,0,0,"flat0",-1.35302884544479,-0.710639134362502,-0.595259620438595,1.23413343282739,-1.14096684403832,-0.356214223085491,-1.40377463037018,-1.73059622057024,-0.695996183997032,"F",1.054456712065,0.205089427059725
1.5,0,-1.2610341469994,0,0,0,"flat0",-1.21192404551989,-0.705634378372818,-0.595787573838318,1.22983650548435,-1.16111086359693,-0.360283815203312,-1.38942029046542,-1.66526189615638,-0.695996183997032,"F",1.04661054640875,0.205089427059725
2,0,-1.2610341469994,0,0,0,"flat0",-1.08746927429552,-0.712803317886786,-0.565883644308553,1.23666299896924,-1.13192093479504,-0.329011161166603,-1.40876434562218,-1.57223142711903,-0.722121350056831,"F",1.0368243453032,0.205089427059725
2.5,0,-1.2610341469994,0,0,0,"flat0",-1.16798025934162,-0.712440335820926,-0.546400950739609,1.21909979435721,-1.11961570337726,-0.291157831956046,-1.38765482764322,-1.59054093463022,-0.865519485123291,"F",1.02493563849382,0.205089427059725
3,0,-1.2610341469994,0,0,0,"flat0",-1.1998052218448,-0.708642496551362,-0.491602435440334,1.20457455624891,-1.12601889544623,-0.24327318527218,-1.35628751873292,-1.57399662077439,-0.992661962310529,"F",1.01007475309826,0.205089427059725
3.5,0,-1.2610341469994,0,0,0,"flat0",-1.17388154942308,-0.716200230404681,-0.46183688039587,1.18060039520938,-1.07499345262373,-0.195277810381298,-1.31245329177385,-1.64786433223276,-1.06494158905373,"F",0.994917606836897,0.205089427059725
4,0,-1.2610341469994,0,0,0,"flat0",-1.26672198482128,-0.722155485593493,-0.394976114257894,1.16056228635243,-1.04537391553868,-0.114140034762534,-1.28171445863441,-1.70601592819133,-1.16160470476383,"F",0.976730937773543,0.205089427059725
4.5,0,-1.2610341469994,0,0,0,"flat0",-1.41604658692349,-0.717213847554955,-0.363070192932073,1.17703811825732,-1.03988683684463,-0.096165341888749,-1.34928944418656,-1.63209168623955,-1.06958606273351,"F",0.956174181783847,0.205089427059725
5,0,-1.2610341469994,0,0,0,"flat0",-0.956164887115413,-0.726448575656345,-0.354571011119172,1.1590685098375,-0.969048441235399,-0.0773156934667266,-1.30809059287068,-1.47356413690912,-1.04026782075035,"F",0.937356764023495,0.205089427059725
